taxon,common_names
Taphozous mauritianus,"[{'taxonname': 'Mauritian Tomb Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Taphozous bat of Mauritius', 'primary': False, 'language': 'eng'}, {'taxonname': 'Tomb Bat', 'primary': False, 'language': 'eng'}]"
Taphozous nudiventris,"[{'taxonname': 'Naked-rumped Tomb Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Naked-bellied Tomb Bat', 'primary': False, 'language': 'eng'}]"
Taphozous perforatus,"[{'taxonname': 'Egyptian Tomb Bat', 'primary': True, 'language': 'eng'}, {'taxonname': ""Geoffroy's Tomb Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': 'African Taphozous', 'primary': False, 'language': 'eng'}, {'taxonname': 'Tomb Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Perforated Taphozous Bat', 'primary': False, 'language': 'eng'}]"
Asellia tridens,"[{'taxonname': ""Geoffroy's Trident Leaf-nosed Bat"", 'primary': True, 'language': 'eng'}, {'taxonname': 'Trident Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Trident Leaf-nosed Bat', 'primary': False, 'language': 'eng'}]"
Cloeotis percivali,"[{'taxonname': ""Percival's Trident Bat"", 'primary': True, 'language': 'eng'}, {'taxonname': ""Percival's Short-eared Trident Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': 'African Trident Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'East African Trident Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Short-eared Trident Bat', 'primary': False, 'language': 'eng'}]"
Hipposideros caffer,"[{'taxonname': 'Cape Leaf-nosed bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Common African Leaf-nosed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Lesser Leaf-nosed bat', 'primary': False, 'language': 'eng'}, {'taxonname': ""Sundevall's Leaf-nosed Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Sundevall's Roundleaf Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Phyllorhine de Cafrerie', 'primary': False, 'language': 'fre'}]"
Hipposideros cyclops,"[{'taxonname': 'Cyclops Roundleaf Bat', 'primary': True, 'language': 'eng'}]"
Hipposideros gigas,[]
Hipposideros ruber,"[{'taxonname': ""Noack's Roundleaf Bat"", 'primary': True, 'language': 'eng'}]"
Hipposideros vittatus,[]
Triaenops persicus,"[{'taxonname': 'Persian Trident Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Persian Leaf-nosed Bat', 'primary': False, 'language': 'eng'}]"
Cardioderma cor,"[{'taxonname': 'Heart-nosed Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'African False Vampire Bat', 'primary': False, 'language': 'eng'}]"
Lavia frons,"[{'taxonname': 'Yellow-winged Bat', 'primary': True, 'language': 'eng'}]"
Chaerephon ansorgei,"[{'taxonname': ""Ansorge's Free-tailed Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': ""Ansorge's Wrinkle-lipped Bat"", 'primary': True, 'language': 'eng'}, {'taxonname': ""Molosse d'Afrique du Sud"", 'primary': False, 'language': 'fre'}, {'taxonname': ""Molosse d'Ansorge"", 'primary': False, 'language': 'fre'}, {'taxonname': ""Tadaride d'Ansorge"", 'primary': False, 'language': 'fre'}]"
Chaerephon bemmeleni,"[{'taxonname': 'Gland-tailed Free-tailed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Gland-tailed Wrinkle-lipped Bat', 'primary': True, 'language': 'eng'}, {'taxonname': ""Van Bemmelen's Wrinkle-lipped Bat"", 'primary': False, 'language': 'eng'}, {'taxonname': 'Molosse à glandes caudales', 'primary': False, 'language': 'fre'}, {'taxonname': 'Tadaride à glande caudale', 'primary': False, 'language': 'fre'}]"
Chaerephon bivittatus,"[{'taxonname': 'Spotted Free-tailed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Spotted Wrinkle-lipped Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Spotted Gland-tailed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Molosse tacheté', 'primary': False, 'language': 'fre'}, {'taxonname': 'Tadaride tachetée', 'primary': False, 'language': 'fre'}]"
Chaerephon leucogaster,[]
Chaerephon major,"[{'taxonname': 'Large Wrinkle-lipped Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Giant Gland-tailed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Lappet-eared Free-tailed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Lappet-eared Wrinkle-lipped Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Grand molosse à glandes caudales', 'primary': False, 'language': 'fre'}, {'taxonname': 'Tadaride à oreillettes', 'primary': False, 'language': 'fre'}]"
Chaerephon nigeriae,"[{'taxonname': 'Nigerian Free-tailed Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Nigerian Wrinkle-lipped Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Molosse du Nigéria', 'primary': False, 'language': 'fre'}, {'taxonname': 'Tadaride du Nigeria', 'primary': False, 'language': 'fre'}]"
Chaerephon pumilus,"[{'taxonname': 'Little Free-tailed Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Lesser Free-tailed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Little Wrinkle-lipped Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'White-bellied Free-tailed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Petite tadaride', 'primary': False, 'language': 'fre'}, {'taxonname': 'Petit molosse à glandes caudales', 'primary': False, 'language': 'fre'}, {'taxonname': 'Tadaride bornée', 'primary': False, 'language': 'fre'}]"
Mops bakarii,[]
Mops brachypterus,"[{'taxonname': 'Sierra Leone Free-tailed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'White-fingered Free-tailed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Sierra Leone Mops Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Short-winged Mops Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Tadaride de Peters', 'primary': False, 'language': 'fre'}, {'taxonname': 'Tadaride à doigts blancs', 'primary': False, 'language': 'fre'}]"
Mops condylurus,"[{'taxonname': 'Knob-tailed Mops Bat', 'primary': False, 'language': 'eng'}, {'taxonname': 'Knob-tailed Nyctinome', 'primary': False, 'language': 'eng'}, {'taxonname': 'Angolan Mops Bat', 'primary': True, 'language': 'eng'}, {'taxonname': 'Angolan Free-tailed Bat', 'primary': False, 'language': 'eng'}, {'taxonname': ""Tadaride d'Angola"", 'primary': False, 'language': 'fre'}, {'taxonname': ""Molosse d'Angola"", 'primary': False, 'language': 'fre'}]"
